name,type,data,variation
C,,0 3 2 0 1 0 ,0
C,m,0 3 5 5 4 3 ,0
C,7,0 3 2 3 1 0 ,0
C,m7,0 3 5 3 4 3 ,0
C#/Db,,0 4 6 6 6 4 ,0
C#/Db,m,0 4 6 6 5 4 ,0
C#/Db,7,0 4 6 4 6 4 ,0
C#/Db,m7,0 4 6 4 5 4 ,0
D,,0 0 0 2 3 2 ,0
D,m,0 0 0 2 3 1 ,0
D,7,0 0 0 2 1 2 ,0
D,m7,0 0 0 2 1 1 ,0
D#/Eb,,0 6 8 8 8 6 ,0
D#/Eb,m,0 6 8 8 7 6 ,0
D#/Eb,7,0 0 1 3 2 3 ,0
D#/Eb,m7,0 0 1 3 2 2 ,0
E,,0 2 2 1 0 0 ,0
E,m,0 2 2 0 0 0 ,0
E,7,0 2 0 1 0 0 ,0
E,m7,0 2 2 0 3 0 ,0
F,,1 3 3 2 1 1 ,0
F,m,1 3 3 1 1 1 ,0
F,7,1 3 1 2 1 1 ,0
F,m7,1 3 3 1 4 1 ,0
F#/Gb,,2 4 4 3 2 2 ,0
F#/Gb,m,2 4 4 2 2 2 ,0
F#/Gb,7,2 4 2 3 2 2 ,0
F#/Gb,m7,2 4 4 2 5 2 ,0
G,,3 2 0 0 0 3 ,0
G,m,3 5 5 3 3 3 ,0
G,7,3 2 0 0 0 1 ,0
G,m7,3 5 5 3 6 3 ,0
G#/Ab,,4 6 6 5 4 4 ,0
G#/Ab,m,4 6 6 4 4 4 ,0
G#/Ab,7,4 6 4 5 4 4 ,0
G#/Ab,m7,4 6 6 4 7 4 ,0
A,,0 0 2 2 2 0 ,0
A,m,0 0 2 2 1 0 ,0
A,7,0 0 2 0 2 0 ,0
A,m7,0 0 2 0 1 0 ,0
A#/Bb,,0 1 3 3 3 1 ,0
A#/Bb,m,0 1 3 3 2 1 ,0
A#/Bb,7,0 1 3 1 3 1 ,0
A#/Bb,m7,0 1 3 1 2 1 ,0
B,,0 2 4 4 4 2 ,0
B,m,0 2 4 4 3 2 ,0
B,7,0 2 1 2 0 2 ,0
B,m7,0 2 4 2 3 2 ,0
